Open,High,Low,Close,per_change,Qty,EPS,PE
362.63736,368.6836,358.35385,364.61185,-0.36818755,14145.139,17.25177,30.5389
361.81543,367.91168,357.5823,363.85052,-0.3697473,13907.814,17.204742,30.745337
361.0054,367.1515,356.82306,363.09995,-0.3713281,13675.399,17.155926,30.94584
360.2071,366.4028,356.07587,362.3599,-0.3729232,13447.842,17.105461,31.140259
359.4203,365.66525,355.34048,361.63013,-0.37452933,13224.998,17.05348,31.328476
358.64478,364.93845,354.61664,360.91037,-0.37614155,13006.793,17.000118,31.510391
357.88043,364.22214,353.90405,360.20044,-0.37775487,12793.124,16.945496,31.685928
357.127,363.51602,353.20255,359.5001,-0.3793632,12583.916,16.889736,31.855017
356.38437,362.81985,352.51187,358.80914,-0.38096547,12379.091,16.832956,32.01763
355.65228,362.13333,351.83176,358.12735,-0.38255838,12178.545,16.775267,32.173744
354.93057,361.45618,351.16193,357.45453,-0.38413748,11982.1875,16.71678,32.323334
354.219,360.78818,350.50223,356.79044,-0.3857017,11789.9375,16.657595,32.466415
353.5174,360.12903,349.8523,356.13495,-0.38724875,11601.712,16.597816,32.603004
352.82553,359.47852,349.212,355.48776,-0.38877597,11417.412,16.537539,32.733124
352.14322,358.83636,348.58105,354.8487,-0.39028054,11236.964,16.476852,32.856815
351.4702,358.2024,347.95914,354.2176,-0.39176306,11060.263,16.415844,32.974113
350.80637,357.5763,347.34613,353.5942,-0.3932202,10887.235,16.3546,33.08508
350.15134,356.9579,346.7417,352.97836,-0.39465192,10717.794,16.293198,33.189766
349.505,356.34695,346.14563,352.36987,-0.39605606,10551.845,16.231714,33.288258
348.86713,355.74323,345.55768,351.7685,-0.3974315,10389.317,16.17022,33.380608
348.23752,355.14658,344.97763,351.17407,-0.3987793,10230.12,16.108782,33.46692
347.61597,354.55676,344.40527,350.58646,-0.4000957,10074.194,16.047468,33.54725
347.00223,353.9736,343.84033,350.00543,-0.40138337,9921.45,15.986336,33.62171
346.39612,353.3969,343.28265,349.43088,-0.40263847,9771.811,15.925443,33.690384
345.79745,352.8265,342.73203,348.86258,-0.40386268,9625.229,15.864844,33.75338
345.20612,352.2622,342.1882,348.3004,-0.4050543,9481.637,15.804593,33.81079
344.6218,351.7039,341.65106,347.74423,-0.40621394,9340.969,15.744734,33.86272
344.0444,351.1514,341.12036,347.19388,-0.4073399,9203.147,15.685308,33.90929
343.47382,350.60458,340.59598,346.64923,-0.40843272,9068.157,15.626361,33.95059
342.90976,350.06332,340.0777,346.1101,-0.409493,8935.926,15.567931,33.986755
342.3522,349.52747,339.5654,345.5765,-0.41052017,8806.392,15.510051,34.0179
341.80093,348.9969,339.05893,345.04822,-0.41151366,8679.525,15.452755,34.044125
341.25583,348.4715,338.5581,344.52515,-0.41247404,8555.274,15.396072,34.065567
340.71677,347.95126,338.06287,344.00723,-0.41340128,8433.59,15.340032,34.082336
340.18362,347.4359,337.57303,343.49432,-0.41429543,8314.458,15.284657,34.094566
339.65628,346.9255,337.08844,342.9864,-0.415157,8197.802,15.229969,34.102364
339.1346,346.41986,336.60904,342.48328,-0.41598657,8083.6084,15.175988,34.105873
338.6185,345.91895,336.13474,341.98492,-0.41678357,7971.8286,15.122738,34.1052
338.10788,345.42264,335.66534,341.49127,-0.41754967,7862.4243,15.070225,34.10049
337.60263,344.93094,335.20078,341.00223,-0.41828263,7755.3726,15.018472,34.091854
337.10266,344.4437,334.74097,340.5177,-0.41898692,7650.629,14.9674835,34.07942
336.60785,343.96088,334.28586,340.03766,-0.41965917,7548.1504,14.9172735,34.063313
336.11816,343.48242,333.83527,339.56204,-0.42030218,7447.9194,14.86785,34.043663
335.63345,343.00824,333.38922,339.09076,-0.4209165,7349.892,14.81922,34.020576
335.1537,342.53833,332.9475,338.62375,-0.42150265,7254.0327,14.771386,33.994198
334.6788,342.0726,332.51016,338.16095,-0.422059,7160.318,14.724357,33.96464
334.20868,341.611,332.07706,337.70236,-0.42258886,7068.7026,14.678129,33.932022
333.74326,341.15347,331.64813,337.24786,-0.42309222,6979.1523,14.632707,33.896465
333.28247,340.69998,331.22333,336.79742,-0.4235691,6891.6543,14.58809,33.858093
332.82626,340.2505,330.80258,336.351,-0.4240195,6806.148,14.544276,33.81701
332.37457,339.80493,330.3858,335.9086,-0.4244467,6722.6157,14.501262,33.773346
331.9273,339.36325,329.97293,335.4701,-0.42484906,6641.0054,14.459047,33.727207
331.48444,338.92548,329.56393,335.03546,-0.42522824,6561.2935,14.417624,33.678703
331.04584,338.4915,329.15875,334.60468,-0.4255837,6483.4644,14.376989,33.62795
330.61157,338.06134,328.75732,334.17767,-0.42591816,6407.4673,14.337138,33.57505
330.1815,337.6349,328.35962,333.7545,-0.42623055,6333.277,14.298062,33.52011
329.75552,337.21216,327.96558,333.335,-0.42652142,6260.8457,14.259754,33.463238
329.3337,336.79315,327.57513,332.91922,-0.42679355,6190.1606,14.222206,33.404537
328.91592,336.37778,327.1883,332.5071,-0.42704412,6121.1753,14.18541,33.34409
328.50217,335.96606,326.80493,332.09857,-0.42727703,6053.8643,14.149355,33.282013
328.09238,335.55795,326.4251,331.6937,-0.4274923,5988.2036,14.114036,33.218395
327.68652,335.15335,326.0487,331.29236,-0.42768878,5924.138,14.079439,33.153328
327.28455,334.75235,325.67572,330.89462,-0.42786816,5861.6636,14.045556,33.086903
326.8864,334.35492,325.30615,330.50037,-0.42803153,5800.7314,14.012375,33.0192
326.4921,333.96094,324.93988,330.1096,-0.42818,5741.328,13.979886,32.95031
326.1015,333.57043,324.57697,329.72232,-0.42831028,5683.4106,13.948078,32.880318
325.7147,333.18338,324.21735,329.3385,-0.42842728,5626.9517,13.916941,32.809303
325.33154,332.79984,323.861,328.9581,-0.42852882,5571.934,13.88646,32.73734
324.95212,332.41968,323.50787,328.58112,-0.42861715,5518.321,13.8566265,32.66451
324.57632,332.04294,323.158,328.2075,-0.42869276,5466.0786,13.827429,32.590878
324.20413,331.66962,322.81125,327.83728,-0.42875513,5415.1973,13.798854,32.51652
323.83548,331.29962,322.4677,327.4704,-0.42880479,5365.6353,13.770892,32.441505
323.47043,330.93304,322.12732,327.10687,-0.42884234,5317.3643,13.743527,32.365902
323.10892,330.5698,321.79007,326.74664,-0.42886826,5270.3774,13.716753,32.289764
