Open,High,Low,Ltp,per_change,Qty
899.7843,928.9624,893.75195,896.7404,1.8760891,25522.6
899.8786,929.07294,893.8388,896.82776,1.8762597,25559.818
899.9733,929.18396,893.9261,896.91565,1.8764225,25596.725
900.0686,929.2956,894.0138,897.0038,1.8765792,25633.322
900.1643,929.4077,894.1021,897.0925,1.8767321,25669.621
900.2605,929.5204,894.19073,897.1815,1.8768816,25705.637
900.3572,929.63354,894.27985,897.27106,1.8770282,25741.38
900.45435,929.74744,894.36945,897.36096,1.877174,25776.863
900.55206,929.86176,894.45953,897.45135,1.8773198,25812.115
900.6503,929.9768,894.55,897.5422,1.8774666,25847.143
900.74915,930.09247,894.641,897.63354,1.8776133,25881.97
900.8484,930.2087,894.7325,897.72534,1.8777614,25916.615
900.9483,930.3257,894.8245,897.8177,1.8779103,25951.082
901.0488,930.44336,894.9171,897.9106,1.8780606,25985.402
901.1499,930.5617,895.01025,898.00397,1.8782136,26019.592
901.25165,930.6808,895.1039,898.098,1.8783679,26053.652
901.35406,930.80066,895.1981,898.19257,1.8785232,26087.598
901.4571,930.92126,895.2929,898.2878,1.8786807,26121.447
901.5608,931.0426,895.38837,898.38354,1.8788382,26155.205
901.6651,931.16473,895.4844,898.4799,1.8789958,26188.88
901.7701,931.2876,895.58093,898.57684,1.879155,26222.482
901.8758,931.41125,895.67816,898.67444,1.8793135,26256.008
901.9821,931.53577,895.776,898.7727,1.8794719,26289.463
902.0891,931.661,895.8744,898.87146,1.8796289,26322.857
902.19684,931.787,895.97345,898.97095,1.8797859,26356.19
902.3051,931.9138,896.07306,899.071,1.8799417,26389.445
902.4141,932.04126,896.17316,899.1716,1.8800956,26422.654
902.52374,932.1695,896.2739,899.27277,1.8802481,26455.79
902.6339,932.29846,896.3753,899.37463,1.8803989,26488.86
902.74475,932.4282,896.47723,899.477,1.8805465,26521.863
902.8562,932.5586,896.57965,899.57983,1.8806922,26554.799
902.96826,932.68964,896.6827,899.68335,1.8808362,26587.66
903.08093,932.8214,896.7862,899.78735,1.8809776,26620.45
903.1941,932.9538,896.89026,899.8919,1.8811153,26653.162
903.30786,933.0869,896.9948,899.9969,1.881252,26685.799
903.4222,933.22064,897.09985,900.1025,1.8813853,26718.36
903.53705,933.355,897.20544,900.2085,1.8815162,26750.836
903.6524,933.4899,897.31146,900.31506,1.8816454,26783.234
903.76825,933.6254,897.418,900.422,1.8817714,26815.549
903.8847,933.7616,897.52496,900.52954,1.8818957,26847.785
904.00165,933.89825,897.63245,900.6374,1.8820171,26879.928
904.1191,934.0355,897.74036,900.7458,1.882136,26911.998
904.2369,934.1734,897.8487,900.8546,1.8822539,26943.977
904.3553,934.31177,897.9575,900.96387,1.882369,26975.88
904.4741,934.4507,898.0667,901.0736,1.8824824,27007.697
904.5934,934.5902,898.1764,901.18365,1.8825932,27039.443
904.7132,934.7302,898.28644,901.29425,1.882703,27071.094
